Index, Instruction
1, ADD64ri8
2, ADD64ri32
3, ADD64mi32
4, ADD64mi8
5, ADD64mr
6, ADD64rm
7, ADD64rr
8, ADC64rr
9, ADC64rm
10, ADC64mr
11, ADC64ri8
12, ADD32rr
13, ADD32rm
14, ADD32ri8
15, ADD32i32
16, ADC32mi8
17, ADD8rm
18, AND64rr
19, AND64i32
20, AND64ri32
21, AND64ri8
22, AND32rr
23, AND32ri8
24, AND32ri
25, AND32i32
26, OR64rr
27, OR64rm
28, OR64ri8
29, OR32rr
30, OR32ri8
31, OR8rm
32, MUL64m
33, IMUL32rm
34, XOR64rr
35, XOR64rm
36, XOR64mr
37, XOR32rr
38, XOR32rm
39, XOR32ri8
40, XOR8rr
41, XOR8rm
42, SUB64rr
43, SUB64rm
44, SUB32rr
45, TEST32rr
46, AND8rr
47, TEST8ri
48, TEST8i8
49, TEST8mi
50, SHL8rCL
51, SHR8ri
52, SAR8r1
53, SHR32rCL
54, SHR32ri
55, SHR32r1
56, SHL32rCL
57, SHL32ri
58, SAR32r1
59, SAR64ri
60, SHR64ri
61, SHL64ri
62, AND16rr
63, OR8rr
64, OR16rr
65, XOR16rr
66, SUB8rr
67, SUB16rr
68, SUB32rm
69, ADD8rr
70, ADD16rr
71, ADD32rm
72, SHR64rCL
73, SHR32rCL
74, SHR16rCL
75, SHR8rCL
76, MUL32r
77, CMP64rr
78, CMP64rm
79, CMP32rr
80, CMP32rm
81, CMP32mr
82, CMP8rr
83, SBB32rr
84, IMUL32rr
85, IMUL32rm
86, VPXORrr
87, VPXORrm
88, VPXORYrr
89, VPXORYrm
90, PXORrr
91, PXORrm
92, VPORrr
93, VPORYrr
94, PORrr
95, PORrm
96, VPADDDrr
97, VPADDDrm
98, VPADDDYrr
99, VPADDDYrm
100, VPADDQrr
101, VPADDQrm
102, VPADDQYrr
103, VPADDQYrm
104, PADDQrr
105, PADDQrm
106, VPANDrr
107, VPANDrm
108, PANDrr
109, PANDrm
110, VPSHUFBrr
111, VPSHUFBYrr
112, VPSHUFBYrm
113, LEA64_32r
114, LEA64r
115, ADD32ri
116, ADD8rm
117, AND64rm
118, XOR32ri
119, AND8ri
120, SAR8ri
121, SHR64r1
122, OR8rr
123, OR8ri
124, ADD8ri
125, MUL64r
126, CMP64mr
127, PADDDrr
128, PADDDrm
129, IMUL64rr
130, IMUL64rm
131, IMUL64rri8
132, IMUL64rri32
133, IMUL64rmi32
134, ADD64i32
